COD_UF,COD_MUNICIPIO,COD_DISTRITO,COD_SUBDISTRITO,SITUACAO,NOM_TIPO_SEGLOGR,NOM_TITULO_SEGLOGR,NOM_SEGLOGR,NUM_ENDERECO,DSC_MODIFICADOR,NOM_COMP_ELEM1,VAL_COMP_ELEM1,NOM_COMP_ELEM2,VAL_COMP_ELEM2,NOM_COMP_ELEM3,VAL_COMP_ELEM3,NOM_COMP_ELEM4,VAL_COMP_ELEM4,NOM_COMP_ELEM5,VAL_COMP_ELEM5,LATITUDE,LONGITUDE,ALTITUDE,DSC_LOCALIDADE,COD_ESPECIE,CEP
31,40159,5,0,2,RUA,,CAMPO BELI,,SN,,,,,,,,,,,-20.066184972222224,-44.16842833333333,791.0,CAMPO BELO.,3,32470000
31,40159,5,0,2,RUA,,CAMPO BELI,,SN,,,,,,,,,,,-20.066173305555555,-44.16862166666667,794.0,CAMPO BELO.,3,32470000
31,40159,5,0,2,RUA,,CAMPO BELI,,SN,,,,,,,,,,,-20.065295,-44.16826666666667,792.0,CAMPO BELO.,3,32470000
31,40159,5,0,2,RUA,,CAMPO BELI,,SN,,,,,,,,,,,-20.06361163888889,-44.16844833333333,775.0,CAMPO BELO.,3,32470000
31,40159,5,0,2,RUA,,CAMPO BELI,101.0,,,,,,,,,,,,-20.06094997222222,-44.17043333333333,782.0,CAMPO BELO.,3,32470000
31,40159,5,0,2,RUA,,CAMPO BELI,,SN,,,,,,,,,,,-20.06559497222222,-44.16782333333333,777.0,CAMPO BELO.,3,32470000
31,40159,5,0,2,RUA,,CAMPO BELI,,SN,,,,,,,,,,,-20.06559497222222,-44.16782333333333,777.0,CAMPO BELO.,3,32470000
31,40159,5,0,2,RUA,,CAMPO BELI,,SN,,,,,,,,,,,-20.065353305555558,-44.167244999999994,777.0,CAMPO BELO.,3,32470000
31,40159,5,0,2,RUA,,CAMPO BELI,,SN,,,,,,,,,,,-20.066863333333334,-44.16726997222222,773.0,CAMPO BELO.,3,32470000
31,40159,5,0,2,RUA,,BAHIA,420.0,,OUTROS,C - A,,,,,,,,,-20.07255497222222,-44.16454833333333,824.0,TANGARA,3,32470000
31,40159,5,0,2,RUA,,BAHIA,,SN,,,,,,,,,,,-20.071066666666667,-44.16567666666666,816.0,TANGARA,3,32470000
31,40159,5,0,2,RUA,,BAHIA,,SN,,,,,,,,,,,-20.072165,-44.166533333333334,801.0,CAPAO,3,32470000
31,40159,5,0,2,ESTRADA,,FECHO DO FUNIL,990.0,,,,,,,,,,,,-20.087298333333333,-44.185266666666664,890.0,CAPAO,3,32470000
31,40159,5,0,2,ESTRADA,,GROTA DA SERRA,,SN,,,,,,,,,,,-20.093611638888888,-44.18866666666666,911.0,CAPAO,3,32470000
31,40159,5,0,2,ESTRADA,,VILA DA SERRA,4000.0,,,,,,,,,,,,-20.086826666666667,-44.19164833333333,839.0,FUNIL,3,32470000
31,40159,5,0,2,RUA,,DIAMANTE,,SN,,,,,,,,,,,-20.083006666666666,-44.180859999999996,859.0,VILA DA SERRA,3,32470000
31,40159,5,0,2,RUA,,DIAMANTE,,SN,,,,,,,,,,,-20.087603305555554,-44.17811333333333,895.0,VILA DA SERRA,3,32470000
31,40159,5,0,2,RUA,,DIAMANTE,,SN,,,,,,,,,,,-20.09549997222222,-44.18329,972.0,VILA DA SERRA,3,32470000
31,40159,5,0,2,RUA,,DIAMANTES,,SN,,,,,,,,,,,-20.07695497222222,-44.18674497222222,836.0,CAPAO,3,32470000
31,40159,5,0,2,RUA,,DIAMANTES,,SN,,,,,,,,,,,-20.073673333333332,-44.18380833333333,831.0,CAPAO,3,32470000
31,40159,5,0,2,RUA,,DO SOSSEGO,,SN,,,,,,,,,,,-20.081571666666665,-44.201343333333334,761.0,FUNIL,3,32470000
31,40159,5,0,2,RODOVIA,,MG40,,SN,,,,,,,,,,,-20.064604972222224,-44.210189972222224,738.0,FUNIL,3,32470000
31,40159,5,0,2,RODOVIA,,MG40,,SN,,,,,,,,,,,-20.063248333333334,-44.20939497222223,730.0,FUNIL,3,32470000
31,40159,5,0,2,RODOVIA,,MG40,,SN,,,,,,,,,,,-20.06394163888889,-44.20852663888889,732.0,FUNIL,3,32470000
31,40159,5,0,2,RODOVIA,,MG40,,SN,,,,,,,,,,,-20.065683305555556,-44.21091497222223,738.0,FUNIL,3,32470000
31,40159,5,0,2,RODOVIA,,MG40,,SN,,,,,,,,,,,-20.06520663888889,-44.21205330555556,723.0,FUNIL,3,32470000
31,40159,5,0,2,RODOVIA,,MG40,2378.0,,,,,,,,,,,,-20.063043333333333,-44.20760163888889,734.0,FUNIL,3,32470993
31,40159,5,0,2,FAZENDA,,LAMBARI,,SN,,,,,,,,,,,-20.067176666666665,-44.149771666666666,833.0,MARIO CAMPOS,3,32470000
31,40159,5,0,2,FAZENDA,,LAMBARI,,SN,,,,,,,,,,,-20.066298305555556,-44.14819830555555,836.0,MARIO CAMPOS,3,32470000
31,40159,5,0,2,FAZENDA,,LAMBARI,,SN,,,,,,,,,,,-20.06187163888889,-44.15029163888889,812.0,MARIO CAMPOS,3,32470000
31,40159,5,0,2,RUA,,CANDIDO LOBATO,,SN,,,,,,,,,,,-20.060883333333333,-44.15190497222222,784.0,MARIO CAMPOS,3,32470000
31,40159,5,0,2,RUA,,CANDIDO LOBATO,,SN,,,,,,,,,,,-20.070398333333333,-44.148833305555556,835.0,MORRO DO ALTO,3,32470000
31,40159,5,0,2,RUA,,MARIANA DE FREITAS,,SN,,,,,,,,,,,-20.069425,-44.15163830555555,804.0,BOM JARDIM,3,32470000
31,40159,5,0,2,RUA,,MARIANA DE FREITAS,,SN,,,,,,,,,,,-20.071666666666665,-44.149211638888886,867.0,BOM JARDIM,3,32470000
31,40159,5,0,2,RUA,,MARIANA DE FREITAS,,SN,,,,,,,,,,,-20.069938305555556,-44.151896666666666,804.0,BOM JARDIM,3,32470000
31,40159,5,0,2,ESTRADA,,DA LINHA DE TREM,,SN,,,,,,,,,,,-20.059689972222223,-44.20073497222222,712.0,FUNIL,3,32470992
31,40159,5,0,2,ESTRADA,,DA LINHA DE TREM,,SN,,,,,,,,,,,-20.056119972222223,-44.19060997222222,724.0,FUNIL,3,32470992
31,40159,5,0,2,RUA,,ADUTORA,801.0,,,,,,,,,,,,-20.054893305555556,-44.19613333333333,716.0,FUNIL,3,32470992
31,40159,5,0,2,SITIO,,GROTA DA PONTE,,SN,,,,,,,,,,,-20.068633305555554,-44.20488,773.0,FUNIL,3,32470992
31,40159,5,0,2,SITIO,,GROTA DA PONTE,,SN,,,,,,,,,,,-20.06426666666667,-44.195231638888885,740.0,FUNIL,3,32470992
31,40159,5,0,2,SITIO,,GROTA DA PONTE,,SN,,,,,,,,,,,-20.067908305555555,-44.204750000000004,768.0,FUNIL,3,32470970
